"","case_order","uid","state","county","zip","lat","lng","area","time_zone","children","age","income","marital","gender","churn","outage_sec_perweek","email","contacts","yearly_equip_failure","techie","contract","port_modem","tablet","internet_service","phone","multiple","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","paperless_billing","payment_method","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8"
"1",2,"Other","MI","Other",48661,44.32893,-84.2408,"Urban","America/Detroit",1,27,21704.77,"Married","Female","Yes",11.69907956,12,0,1,"Yes","Month-to-month","No","Yes","Fiber Optic","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Bank Transfer(automatic)",1.156680997,242.632554,800.9827661,3,4,3,3,4,3,4,4
"2",3,"Other","OR","Other",97148,45.35589,-123.24657,"Urban","America/Los_Angeles",4,50,9609.57,"Widowed","Female","No",10.75280028,9,0,1,"Yes","Two Year","Yes","No","DSL","Yes","Yes","No","No","No","No","No","Yes","Yes","Credit Card (automatic)",15.75414408,159.947583,2054.706961,4,4,2,4,4,3,3,3
"3",4,"Other","CA","Other",92014,32.96687,-117.24798,"Suburban","America/Los_Angeles",1,48,18925.23,"Married","Male","No",14.91353964,15,2,0,"Yes","Two Year","No","No","DSL","Yes","No","Yes","No","No","No","Yes","No","Yes","Mailed Check",17.08722662,119.95684,2164.579412,4,4,4,2,5,4,3,3
"4",5,"Other","TX","Other",77461,29.38012,-95.80673,"Suburban","America/Chicago",0,83,40074.19,"Separated","Male","Yes",8.147416533,16,2,1,"No","Month-to-month","Yes","No","Fiber Optic","No","No","No","No","No","Yes","Yes","No","No","Mailed Check",1.670971726,149.948316,271.4934362,4,4,4,3,4,4,4,5
"5",6,"Other","GA","Other",31030,32.57032,-83.8904,"Urban","America/New_York",3,83,22660.2,"Never Married","Female","No",8.420992898,15,3,1,"No","One year","Yes","No","None","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Electronic Check",7.000993555,185.007692,1039.357983,3,3,3,2,4,3,3,3
"6",7,"Other","TN","Other",37847,36.4342,-84.27892,"Suburban","America/New_York",0,79,11467.5,"Widowed","Male","Yes",11.18272453,10,0,1,"Yes","Month-to-month","No","No","DSL","Yes","No","No","No","No","Yes","Yes","Yes","No","Electronic Check",13.23677381,200.118516,1907.242972,6,5,6,4,1,5,5,5
"7",8,"Other","OK","Other",73109,35.43313,-97.52463,"Suburban","America/Chicago",2,30,26759.64,"Married","Female","Yes",7.791632265,16,0,0,"Yes","Month-to-month","No","No","DSL","No","No","No","Yes","No","No","No","No","Yes","Mailed Check",4.26425515,114.950905,979.6127078,2,2,2,5,2,3,4,5
"8",10,"Other","OH","Hamilton",45237,39.19296,-84.4523,"Rural","America/New_York",1,86,50231.4,"Married","Female","No",8.707823904,18,1,0,"No","Two Year","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Mailed Check",3.422086139,162.482694,508.7637913,2,2,2,2,5,2,3,3
"9",13,"Other","IA","Other",52739,41.37287,-91.36865,"Rural","America/Chicago",0,83,83671.08,"Divorced","Male","No",8.273875452,9,0,0,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","No","No","No","No","Yes","No","No","Bank Transfer(automatic)",13.01149229,137.439154,1196.388018,1,2,1,4,3,2,3,3
"10",14,"Other","ME","Other",4228,44.43256,-70.11501,"Urban","America/New_York",5,29,115114.57,"Separated","Female","No",5.880565591,14,1,0,"No","Two Year","Yes","Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Bank Transfer(automatic)",16.87922024,184.971516,1948.694497,5,6,5,2,4,5,4,4
"11",15,"Other","IL","Other",60162,41.86752,-87.90222,"Urban","America/Chicago",1,30,64256.81,"Separated","Male","Yes",11.79073041,10,3,0,"No","Month-to-month","No","No","DSL","No","Yes","No","Yes","No","Yes","No","No","Yes","Bank Transfer(automatic)",10.06019902,159.965581,1582.295235,3,3,4,2,3,4,4,2
"12",16,"Other","WI","Other",54558,45.92342,-89.50138,"Suburban","America/Chicago",3,39,89061.45,"Divorced","Male","Yes",10.79846973,13,1,0,"No","One year","No","No","None","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Electronic Check",13.87001293,177.65076,1840.014467,3,3,3,2,4,3,5,2
"13",17,"Other","CA","Other",95351,37.62326,-120.99637,"Urban","America/Los_Angeles",0,63,31659.3,"Married","Female","Yes",13.52284721,13,1,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Bank Transfer(automatic)",15.78214958,194.966286,2070.376729,3,4,4,3,5,4,4,3
"14",18,"Other","NC","Other",28371,34.90636,-78.98944,"Rural","America/New_York",2,60,44142.81,"Separated","Male","Yes",9.831166695,16,3,0,"No","Two Year","No","No","None","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Mailed Check",2.303331273,202.682861,882.0985933,2,2,4,3,3,4,3,3
"15",19,"Other","TN","Fayette",38060,35.2091,-89.50332,"Rural","America/Chicago",3,61,39262.14,"Widowed","Female","No",9.57470568,11,1,0,"Yes","Two Year","Yes","No","None","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Bank Transfer(automatic)",17.10995632,152.490739,1833.0967,3,4,3,4,3,2,3,5
"16",20,"Other","AL","Other",35172,33.84469,-86.6974,"Rural","America/Chicago",3,23,19494.75,"Divorced","Male","Yes",10.92246098,10,1,0,"No","Month-to-month","Yes","No","DSL","Yes","Yes","No","No","No","No","Yes","No","Yes","Credit Card (automatic)",12.80615845,149.944668,1954.080809,5,5,5,4,4,4,3,3
"17",22,"Other","OH","Franklin",43215,39.96636,-83.01286,"Suburban","America/New_York",3,30,45714.47,"Divorced","Male","No",6.984819996,18,1,0,"No","Two Year","No","Yes","Fiber Optic","Yes","No","Yes","No","Yes","No","No","No","No","Bank Transfer(automatic)",2.415991977,127.495766,594.1054279,5,5,4,4,3,4,3,5
"18",23,"Other","IA","Other",50562,42.96153,-94.64179,"Urban","America/Chicago",3,52,27442.03,"Widowed","Male","No",9.372975594,16,1,1,"No","Month-to-month","No","No","Fiber Optic","Yes","No","No","No","No","Yes","No","No","Yes","Electronic Check",6.652298992,124.964303,713.0633088,3,3,3,2,2,3,5,5
"19",24,"Other","ME","Washington",4694,45.10333,-67.47223,"Urban","America/New_York",2,68,79699.62,"Divorced","Male","No",7.109002592,9,0,0,"No","One year","Yes","No","Fiber Optic","Yes","No","No","No","No","Yes","Yes","No","Yes","Electronic Check",8.543717478,149.948316,945.3802928,4,4,3,5,3,4,4,3
"20",25,"Other","OH","Other",45176,39.08339,-84.02314,"Rural","America/New_York",3,75,28520.32,"Widowed","Female","Yes",13.74777955,15,1,0,"No","Month-to-month","No","Yes","None","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Credit Card (automatic)",5.770390256,162.511928,870.76398,3,3,4,2,4,4,3,4
"21",26,"Other","FL","Other",32086,29.75675,-81.30311,"Suburban","America/New_York",1,77,12558.83,"Separated","Male","Yes",9.767668044,12,1,0,"No","Month-to-month","No","Yes","DSL","Yes","No","No","No","No","No","No","No","No","Bank Transfer(automatic)",4.157658837,92.455141,774.2937069,4,4,4,4,2,4,5,5
"22",27,"Other","NM","Other",87325,36.00209,-108.62285,"Rural","America/Denver",1,47,8762.23,"Married","Female","Yes",15.8626095,15,0,1,"No","Month-to-month","Yes","No","Fiber Optic","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Mailed Check",10.40566091,222.649979,1506.446527,5,3,5,3,3,5,4,4
"23",28,"Other","MI","Monroe",48133,41.7812,-83.48594,"Urban","America/Detroit",0,70,43882.72,"Widowed","Female","Yes",14.73616645,12,0,0,"No","Month-to-month","Yes","No","None","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Electronic Check",1.392421597,139.981577,419.0508708,2,2,3,4,4,2,2,2
"24",29,"Other","VT","Washington",5660,44.24718,-72.74137,"Urban","America/New_York",3,20,10482.52,"Separated","Female","Yes",13.43558029,13,2,0,"Yes","One year","No","No","DSL","Yes","No","No","No","Yes","No","Yes","Yes","No","Bank Transfer(automatic)",1.430386349,200.132293,1259.415493,3,4,3,3,2,4,4,2
"25",30,"Other","MD","Montgomery",20902,39.04373,-77.04224,"Suburban","America/New_York",4,69,33442.79,"Never Married","Male","Yes",10.61771118,18,1,0,"No","Two Year","No","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Credit Card (automatic)",5.425864884,257.651257,1745.125956,4,4,4,3,2,5,5,4
"26",32,"Other","OH","Other",43556,41.30608,-84.56989,"Rural","America/New_York",0,40,21793.88,"Never Married","Female","No",4.450171647,13,2,0,"No","Two Year","No","Yes","None","Yes","Yes","No","Yes","No","Yes","No","No","No","Electronic Check",3.586184954,147.489301,492.4771472,2,3,4,3,3,2,4,3
